lead_id,lead_name,lead_title,company_name,industry,company_size,lead_score,similar_customers
LEAD_609819,Prospect 609819,Unemployed,Unknown,IT Projects Management,100,100.0,"1. IT Projects Management (Unemployed) - Converted via Google with High Engagement (33 mins) (Match: 100.0%).
2. IT Projects Management (Unknown) - Converted via Google with High Engagement (18 mins) (Match: 100.0%)."
LEAD_605254,Prospect 605254,Unemployed,Unknown,Marketing Management,100,100.0,"1. Marketing Management (Unemployed) - Converted via Google with Moderate Engagement (8 mins) (Match: 100.0%).
2. Marketing Management (Unemployed) - Converted via Direct Traffic with High Engagement (24 mins) (Match: 100.0%)."
LEAD_626996,Prospect 626996,Unemployed,Unknown,Finance Management,100,100.0,"1. Finance Management (Working Professional) - Converted via Google with Moderate Engagement (9 mins) (Match: 100.0%).
2. Finance Management (Working Professional) - Converted via Reference with No Site Engagement (Match: 100.0%)."
LEAD_589021,Prospect 589021,Unknown,Unknown,Unknown,100,100.0,"1. Unknown (Unknown) - Converted via Olark Chat with No Site Engagement (Match: 100.0%).
2. Unknown (Unknown) - Converted via Olark Chat with No Site Engagement (Match: 100.0%)."
LEAD_604412,Prospect 604412,Unemployed,Unknown,E-COMMERCE,100,100.0,"1. E-COMMERCE (Working Professional) - Converted via Direct Traffic with Low Engagement (1 mins) (Match: 100.0%).
2. Marketing Management (Unemployed) - Converted via Google with High Engagement (13 mins) (Match: 95.0%)."
LEAD_601595,Prospect 601595,Unemployed,Unknown,Unknown,100,100.0,"1. Unknown (Unemployed) - Converted via Olark Chat with No Site Engagement (Match: 100.0%).
2. Unknown (Unemployed) - Converted via Olark Chat with No Site Engagement (Match: 100.0%)."
LEAD_636616,Prospect 636616,Unknown,Unknown,"Banking, Investment And Insurance",100,100.0,"1. Banking, Investment And Insurance (Unknown) - Converted via Direct Traffic with High Engagement (11 mins) (Match: 100.0%).
2. Banking, Investment And Insurance (Unemployed) - Converted via Direct Traffic with High Engagement (11 mins) (Match: 100.0%)."
LEAD_607384,Prospect 607384,Unemployed,Unknown,IT Projects Management,100,100.0,"1. IT Projects Management (Unemployed) - Converted via Google with High Engagement (33 mins) (Match: 100.0%).
2. IT Projects Management (Unknown) - Converted via Google with High Engagement (18 mins) (Match: 100.0%)."
LEAD_606789,Prospect 606789,Unknown,Unknown,Unknown,100,100.0,"1. Unknown (Unknown) - Converted via Olark Chat with No Site Engagement (Match: 100.0%).
2. Unknown (Unknown) - Converted via Olark Chat with No Site Engagement (Match: 100.0%)."
LEAD_626569,Prospect 626569,Unemployed,Unknown,Marketing Management,100,100.0,"1. Marketing Management (Unemployed) - Converted via Google with Moderate Engagement (8 mins) (Match: 100.0%).
2. Marketing Management (Unemployed) - Converted via Direct Traffic with High Engagement (24 mins) (Match: 100.0%)."
LEAD_608612,Prospect 608612,Unemployed,Unknown,Finance Management,100,100.0,"1. Finance Management (Working Professional) - Converted via Google with Moderate Engagement (9 mins) (Match: 100.0%).
2. Finance Management (Working Professional) - Converted via Reference with No Site Engagement (Match: 100.0%)."
LEAD_651869,Prospect 651869,Unemployed,Unknown,"Banking, Investment And Insurance",100,100.0,"1. Banking, Investment And Insurance (Unknown) - Converted via Direct Traffic with High Engagement (11 mins) (Match: 100.0%).
2. Banking, Investment And Insurance (Unemployed) - Converted via Direct Traffic with High Engagement (11 mins) (Match: 100.0%)."
LEAD_653637,Prospect 653637,Unemployed,Unknown,Unknown,100,100.0,"1. Unknown (Unemployed) - Converted via Olark Chat with No Site Engagement (Match: 100.0%).
2. Unknown (Unemployed) - Converted via Olark Chat with No Site Engagement (Match: 100.0%)."
